Started
2019 day 12:
.....
0 : pos=<x= 2 , y= -1 , z= 1 >, vel=<x= 3 , y= -1 , z= -1 >
1 : pos=<x= 3 , y= -7 , z= -4 >, vel=<x= 1 , y= 3 , z= 3 >
2 : pos=<x= 1 , y= -7 , z= 5 >, vel=<x= -3 , y= 1 , z= -3 >
3 : pos=<x= 2 , y= 2 , z= 0 >, vel=<x= -1 , y= -3 , z= 1 >

0 : pos=<x= 5 , y= -3 , z= -1 >, vel=<x= 3 , y= -2 , z= -2 >
1 : pos=<x= 1 , y= -2 , z= 2 >, vel=<x= -2 , y= 5 , z= 6 >
2 : pos=<x= 1 , y= -4 , z= -1 >, vel=<x= 0 , y= 3 , z= -6 >
3 : pos=<x= 1 , y= -4 , z= 2 >, vel=<x= -1 , y= -6 , z= 2 >

0 : pos=<x= 5 , y= -6 , z= -1 >, vel=<x= 0 , y= -3 , z= 0 >
1 : pos=<x= 0 , y= 0 , z= 6 >, vel=<x= -1 , y= 2 , z= 4 >
2 : pos=<x= 2 , y= 1 , z= -5 >, vel=<x= 1 , y= 5 , z= -4 >
3 : pos=<x= 1 , y= -8 , z= 2 >, vel=<x= 0 , y= -4 , z= 0 >

0 : pos=<x= 2 , y= -8 , z= 0 >, vel=<x= -3 , y= -2 , z= 1 >
1 : pos=<x= 2 , y= 1 , z= 7 >, vel=<x= 2 , y= 1 , z= 1 >
2 : pos=<x= 2 , y= 3 , z= -6 >, vel=<x= 0 , y= 2 , z= -1 >
3 : pos=<x= 2 , y= -9 , z= 1 >, vel=<x= 1 , y= -1 , z= -1 >

0 : pos=<x= -1 , y= -9 , z= 2 >, vel=<x= -3 , y= -1 , z= 2 >
1 : pos=<x= 4 , y= 1 , z= 5 >, vel=<x= 2 , y= 0 , z= -2 >
2 : pos=<x= 2 , y= 2 , z= -4 >, vel=<x= 0 , y= -1 , z= 2 >
3 : pos=<x= 3 , y= -7 , z= -1 >, vel=<x= 1 , y= 2 , z= -2 >

0 : pos=<x= -1 , y= -7 , z= 3 >, vel=<x= 0 , y= 2 , z= 1 >
1 : pos=<x= 3 , y= 0 , z= 0 >, vel=<x= -1 , y= -1 , z= -5 >
2 : pos=<x= 3 , y= -2 , z= 1 >, vel=<x= 1 , y= -4 , z= 5 >
3 : pos=<x= 3 , y= -4 , z= -2 >, vel=<x= 0 , y= 3 , z= -1 >

0 : pos=<x= 2 , y= -2 , z= 1 >, vel=<x= 3 , y= 5 , z= -2 >
1 : pos=<x= 1 , y= -4 , z= -4 >, vel=<x= -2 , y= -4 , z= -4 >
2 : pos=<x= 3 , y= -7 , z= 5 >, vel=<x= 0 , y= -5 , z= 4 >
3 : pos=<x= 2 , y= 0 , z= 0 >, vel=<x= -1 , y= 4 , z= 2 >

0 : pos=<x= 5 , y= 2 , z= -2 >, vel=<x= 3 , y= 4 , z= -3 >
1 : pos=<x= 2 , y= -7 , z= -5 >, vel=<x= 1 , y= -3 , z= -1 >
2 : pos=<x= 0 , y= -9 , z= 6 >, vel=<x= -3 , y= -2 , z= 1 >
3 : pos=<x= 1 , y= 1 , z= 3 >, vel=<x= -1 , y= 1 , z= 3 >

0 : pos=<x= 5 , y= 3 , z= -4 >, vel=<x= 0 , y= 1 , z= -2 >
1 : pos=<x= 2 , y= -9 , z= -3 >, vel=<x= 0 , y= -2 , z= 2 >
2 : pos=<x= 0 , y= -8 , z= 4 >, vel=<x= 0 , y= 1 , z= -2 >
3 : pos=<x= 1 , y= 1 , z= 5 >, vel=<x= 0 , y= 0 , z= 2 >

