NVRVD : 0 -> 3 , needed 17 , made 20 ore: 0 -> 695
JNWZP : 0 -> 4 , needed 3 , made 7 ore: 695 -> 839
VJHF : 0 -> 2 , needed 22 , made 24 ore: 839 -> 1543
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 1543 -> 2558
VJHF : 2 -> 4 , needed 22 , made 24 ore: 2558 -> 3262
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 3262 -> 4132
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 4132 -> 4133
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 4133 -> 4423
VJHF : 4 -> 0 , needed 22 , made 18 ore: 4423 -> 4951
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 4951 -> 5821
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 5821 -> 5821
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 5821 -> 6111
VJHF : 0 -> 2 , needed 22 , made 24 ore: 6111 -> 6815
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 6815 -> 7685
VJHF : 2 -> 4 , needed 22 , made 24 ore: 7685 -> 8389
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 8389 -> 9259
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 9259 -> 9259
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 9259 -> 9549
VJHF : 4 -> 0 , needed 22 , made 18 ore: 9549 -> 10077
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 10077 -> 10947
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 10947 -> 10947
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 10947 -> 11237
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 11237 -> 11793
JNWZP : 4 -> 1 , needed 3 , made 0 ore: 11793 -> 11793
VJHF : 0 -> 2 , needed 22 , made 24 ore: 11793 -> 12497
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 12497 -> 13367
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 13367 -> 13368
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 13368 -> 13658
VJHF : 2 -> 4 , needed 22 , made 24 ore: 13658 -> 14362
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 14362 -> 15232
VJHF : 4 -> 0 , needed 22 , made 18 ore: 15232 -> 15760
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 15760 -> 16630
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 16630 -> 16630
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 16630 -> 16920
VJHF : 0 -> 2 , needed 22 , made 24 ore: 16920 -> 17624
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 17624 -> 18494
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 18494 -> 18494
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 18494 -> 18784
VJHF : 2 -> 4 , needed 22 , made 24 ore: 18784 -> 19488
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 19488 -> 20358
VJHF : 4 -> 0 , needed 22 , made 18 ore: 20358 -> 20886
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 20886 -> 21756
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 21756 -> 21756
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 21756 -> 22046
NVRVD : 2 -> 1 , needed 17 , made 16 ore: 22046 -> 22602
JNWZP : 1 -> 5 , needed 3 , made 7 ore: 22602 -> 22746
VJHF : 0 -> 2 , needed 22 , made 24 ore: 22746 -> 23450
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 23450 -> 24320
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 24320 -> 24321
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 24321 -> 24611
VJHF : 2 -> 4 , needed 22 , made 24 ore: 24611 -> 25315
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 25315 -> 26185
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 26185 -> 26185
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 26185 -> 26475
VJHF : 4 -> 0 , needed 22 , made 18 ore: 26475 -> 27003
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 27003 -> 27873
VJHF : 0 -> 2 , needed 22 , made 24 ore: 27873 -> 28577
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 28577 -> 29447
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 29447 -> 29447
MNCFX : 0 -> 1 , needed 11 , made 12 ore: 29447 -> 29737
VJHF : 2 -> 4 , needed 22 , made 24 ore: 29737 -> 30441
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 30441 -> 31311
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 31311 -> 31311
MNCFX : 0 -> 1 , needed 11 , made 12 ore: 31311 -> 31601
NVRVD : 1 -> 0 , needed 17 , made 16 ore: 31601 -> 32157
JNWZP : 5 -> 2 , needed 3 , made 0 ore: 32157 -> 32157
VJHF : 4 -> 0 , needed 22 , made 18 ore: 32157 -> 32685
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 32685 -> 33555
VJHF : 0 -> 2 , needed 22 , made 24 ore: 33555 -> 34259
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 34259 -> 35274
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 35274 -> 35275
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 35275 -> 35420
VJHF : 2 -> 4 , needed 22 , made 24 ore: 35420 -> 36124
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 36124 -> 37139
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 37139 -> 37139
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 37139 -> 37284
VJHF : 4 -> 0 , needed 22 , made 18 ore: 37284 -> 37812
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 37812 -> 38827
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 38827 -> 38827
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 38827 -> 38972
VJHF : 0 -> 2 , needed 22 , made 24 ore: 38972 -> 39676
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 39676 -> 40691
VJHF : 2 -> 4 , needed 22 , made 24 ore: 40691 -> 41395
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 41395 -> 42265
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 42265 -> 42265
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 42265 -> 42555
NVRVD : 0 -> 3 , needed 17 , made 20 ore: 42555 -> 43250
JNWZP : 2 -> 6 , needed 3 , made 7 ore: 43250 -> 43394
VJHF : 4 -> 0 , needed 22 , made 18 ore: 43394 -> 43922
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 43922 -> 44792
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 44792 -> 44793
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 44793 -> 45083
VJHF : 0 -> 2 , needed 22 , made 24 ore: 45083 -> 45787
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 45787 -> 46657
VJHF : 2 -> 4 , needed 22 , made 24 ore: 46657 -> 47361
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 47361 -> 48231
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 48231 -> 48231
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 48231 -> 48521
VJHF : 4 -> 0 , needed 22 , made 18 ore: 48521 -> 49049
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 49049 -> 49919
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 49919 -> 49919
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 49919 -> 50209
VJHF : 0 -> 2 , needed 22 , made 24 ore: 50209 -> 50913
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 50913 -> 51783
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 51783 -> 51783
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 51783 -> 52073
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 52073 -> 52629
JNWZP : 6 -> 3 , needed 3 , made 0 ore: 52629 -> 52629
