initial load = 101505
m = 1, load = 99669
m = 2, load = 99690
m = 3, load = 99698
m = 4, load = 99689
m = 5, load = 99764
m = 6, load = 99722
m = 7, load = 99725
m = 8, load = 99651
m = 9, load = 99606
m = 10, load = 99540
m = 11, load = 99495
m = 12, load = 99454
m = 13, load = 99392
m = 14, load = 99342
m = 15, load = 99285
m = 16, load = 99213
m = 17, load = 99185
m = 18, load = 99150
m = 19, load = 99134
m = 20, load = 99194
m = 21, load = 99208
m = 22, load = 99234
m = 23, load = 99271
m = 24, load = 99319
m = 25, load = 99338
m = 26, load = 99364
m = 27, load = 99414
m = 28, load = 99445
m = 29, load = 99484
m = 30, load = 99564
m = 31, load = 99625
m = 32, load = 99690
m = 33, load = 99752
m = 34, load = 99801
m = 35, load = 99852
m = 36, load = 99899
m = 37, load = 99948
m = 38, load = 100010
m = 39, load = 100059
m = 40, load = 100099
m = 41, load = 100152
m = 42, load = 100154
m = 43, load = 100178
m = 44, load = 100192
m = 45, load = 100198
m = 46, load = 100217
m = 47, load = 100238
m = 48, load = 100227
m = 49, load = 100234
m = 50, load = 100245
m = 51, load = 100238
m = 52, load = 100230
m = 53, load = 100234
m = 54, load = 100215
m = 55, load = 100198
m = 56, load = 100183
m = 57, load = 100143
m = 58, load = 100106
m = 59, load = 100079
m = 60, load = 100038
m = 61, load = 100010
m = 62, load = 99983
m = 63, load = 99937
m = 64, load = 99918
m = 65, load = 99881
m = 66, load = 99843
m = 67, load = 99804
m = 68, load = 99790
m = 69, load = 99750
m = 70, load = 99720
m = 71, load = 99719
m = 72, load = 99708
m = 73, load = 99704
m = 74, load = 99704
m = 75, load = 99673
m = 76, load = 99659
m = 77, load = 99656
m = 78, load = 99622
m = 79, load = 99590
m = 80, load = 99575
m = 81, load = 99539
m = 82, load = 99507
m = 83, load = 99494
m = 84, load = 99448
m = 85, load = 99408
m = 86, load = 99401
m = 87, load = 99373
m = 88, load = 99356
m = 89, load = 99371
m = 90, load = 99344
m = 91, load = 99316
m = 92, load = 99307
m = 93, load = 99263
m = 94, load = 99237
m = 95, load = 99253
m = 96, load = 99238
m = 97, load = 99233
m = 98, load = 99253
m = 99, load = 99254
